type,line
INTP,"April 4th, 1984. Last night to the flicks. All war films. One very good one of a ship full of refugees being bombed somewhere in the Mediterranean."
INTP,"Audience much amused by shots of a great huge fat man trying to swim away with a helicopter after him, first you saw him wallowing along in the water like a porpoise, then you saw him through the helicopters gunsights, then he was full of holes and the sea round him turned pink and he sank as suddenly as though the holes had let in the water, audience shouting with laughter when he sank then you saw a lifeboat full of children with a helicopter hovering over it."
INTP,There was a middle-aged woman might have been a Jewess sitting up in the bow with a little boy about three years old in her arms.
INTP,little boy screaming with fright and hiding his head between her breasts as if he was trying to burrow right into her and the woman putting her arms round him and comforting him although she was blue with fright herself.
INTP,all the time covering him up as much as possible as if she thought her arms could keep the bullets off him.
INTP,then the helicopter planted a 20 kilo bomb in among them terrific flash and the boat went all to matchwood.
INTP,then there was a wonderful shot of a child's arm going up up up right up into the air a helicopter with a camera in its nose must have followed it up and there was a lot of applause from the party seats but a woman down in the prole part of the house suddenly started kicking up a fuss and shouting they didnt oughter of showed it not in front of kids they didnt it aint right not in front of kids it aint until the police turned her turned her out i dont suppose anything happened to her nobody cares what the proles say typical prole reaction they
INTP,"I've tried all over the place. They don&rsquo;t exist any longer. I was working. I shall see it on the flicks, I suppose."
INTP,I think he was a little upset at no going to the execution. What did they do for that? Of course we can&rsquo;t afford to take chances.
INTP,"Not one, I&rsquo;ve been using the same blade for six weeks myself. Sorry."
INTP," It was three years ago. It was a dark evening, in a narrow side-street near one of the big railway stations. She was standing near a doorway in the wall, under a street lamp that hardly gave any light."
INTP,"She had a young face, painted very thick. It was really the paint that appealed to me, the whiteness of it, like a mask, and the bright red lips"
INTP,"Party women never paint their faces. There was nobody else in the street, and no telescreens. She said two dollars."
INTP,"For the moment it was too difficult to go on. He shut his eyes and pressed his fingers against them, trying to squeeze out the vision that kept recurring."
INTP,"He had an almost overwhelming temptation to shout a string of filthy words at the top of his voice. Or to bang his head against the wall, to kick over the table, and hurl the inkpot through the window -- to do any violent or noisy or painful thing that might black out the memory that was tormenting him."
INTP,"Your worst enemy, he reflected, was your own nervous system. At any moment the tension inside you was liable to translate itself into some visible symptom."
INTP,"He thought of a man whom he had passed in the street a few weeks back; a quite ordinary-looking man, a Party member, aged thirty-five to forty, tallish and thin, carrying a brief-case."
INTP,They were a few metres apart when the left side of the man's face was suddenly contorted by a sort of spasm.
INTP,"It happened again just as they were passing one another: it was only a twitch, a quiver, rapid as the clicking of a camera shutter, but obviously habitual."
INTP,He remembered thinking at the time: That poor devil is done for. And what was frightening was that the action was quite possibly unconscious. The most deadly danger of all was talking in your sleep.
INTP,"There was no way of guarding against that, so far as he could see.I went with her through the doorway and across a backyard into a basement kitchen."
INTP,"There was a bed against the wall, and a lamp on the table, turned down very low. She¡¦"
INTP,"When I saw her in the light she was quite an old woman, fifty years old at least. But I went ahead and did it just the same."
INTP,"Until they become conscious they will never rebel, and until after they have rebelled they cannot become conscious."
INTP,"I understand HOW, I don&rsquo;t understand WHY."
INTP,"If there is hope, it lies in the proles."
INTP,Steamer! Look out guv&rsquo;nor! Bang over&rsquo;ead! Lay down quickly!
INTP,"You must have seen great changes since you were a young man. You are very much older than I am. You must have been a grown man before I was born. You can remember what it was like in the old days, before the Revolution."
INTP,"People of my age don&rsquo;t really know anything about those times. We can only read about them in books, and what is says in the book may be not true."
INTP," I should like your opinion on that. The history books says that life before the Revolution was completely different from what it is now. There was the most terrible oppression, injustice, poverty worse than anything we can imagine."
INTP,"Here in London, the great mass of the people never had enough to eat from birth to death. Half of them hadn&rsquo;t even boots on their feet."
