type,line
ENFJ,"Why? What happened? Did something happen, Willy? You didn&rsquo;t smash the car, did you? You didn&rsquo;t smash the car, did you?"
ENFJ,"Where were you all day? You look terrible. Oh. Maybe it was the steering again. I don&rsquo;t think Angelo knows the Studebaker. Maybe it&rsquo;s your glasses. You never went for your new glasses. Well, you&rsquo;ll just have to take a rest, Willy, you can&rsquo;t continue this way."
ENFJ,"But you didn&rsquo;t rest your mind. Your mind is overactive, and the mind is what counts, dear.  Take an aspirin. Should I get you an aspirin? It&rsquo;ll soothe you"
ENFJ,"Willy, dear. Talk to them again. There&rsquo;s no reason why you can&rsquo;t work in New York. But you&rsquo;re sixty years old. They can&rsquo;t expect you to keep travelling every week."
ENFJ,"Why don&rsquo;t you go down to the place tomorrow and tell Howard you&rsquo;ve simply got to work in New York? You&rsquo;re too accommodating, dear. Why don&rsquo;t you tell those things to Howard, dear?"
ENFJ,"They&rsquo;re sleeping. Happy took Biff on a date tonight.  It was so nice to see them shaving together, one behind the other, in the bathroom. And going out together. You no tice? The whole house smells of shaving lotion."
ENFJ,"Well, dear, life is a casting off. It&rsquo;s always that way. You shouldn&rsquo;t have criticised him, Willy, especially after he just got off the train. You mustn&rsquo;t lose your temper with him."
ENFJ,"He was crestfallen, Willy. You know how he admires you. I think if he finds himself, then you&rsquo;ll both be happier and not fight any more."
ENFJ,"They&rsquo;re sleeping. Get something to eat. Go on down. I don&rsquo;t know. I think he&rsquo;s still lost, Willy. I think he&rsquo;s very lost."
ENFJ,"You&rsquo;ve got too much on the ball to worry about.  Just try to relax, dear. You make mountains out of mole hills."
ENFJ,"And Willy ? if it&rsquo;s warm Sunday we&rsquo;ll drive in the coun try. And we&rsquo;ll open the windshield, and take lunch."
ENFJ,"Well, that&rsquo;s nothing. Something must&rsquo;ve reminded you. Be careful on the stairs, dear! The cheese is on the middle shelf."
ENFJ,"Hang them up on the line. And you better go down to your friends, Biff. The cellar is full of boys. They don&rsquo;t know what to do with themselves."
ENFJ,"Oh, the whole block&rsquo;ll be at that game. Did you sell any thing? No! Wait a minute, I&rsquo;ve got a pencil. That makes your commission... Two hundred... my God! Two hundred and twelve dollars!"
ENFJ,"Well, the man said that&rsquo;s the way it is. Till they work themselves in, y&rsquo;know. They got the biggest ads of any of them!"
ENFJ,"Well, there&rsquo;s nine-sixty for the washing machine. And for the vacuum cleaner there&rsquo;s three and a half due on the fif teenth. Then the roof, you got twenty-one dollars remaining. No, they did a wonderful job. Then you owe Frank for the carburetor."
ENFJ,"Well, you owe him three and a half. And odds and ends, comes to around a hundred and twenty dollars by the fifteenth. Well, next week you&rsquo;ll do better."
ENFJ,"But you&rsquo;re doing wonderful, dear. You&rsquo;re making seventy to a hundred dollars a week"
ENFJ,"illy, darling, you&rsquo;re the handsomest man in the world... To me you are. The handsomest. And the boys, Willy. Few men are idolized by their chil dren the way you are. You are, Willy. The handsomest man. You&rsquo;ve got no rea son to feel that."
ENFJ,"There&rsquo;s nothing to make up, dear. You&rsquo;re doing fine, bet ter than."
ENFJ,Just mending my stockings. They&rsquo;re so expensive.
ENFJ,"And he&rsquo;d better give back that football, Willy, it&rsquo;s not nice. He&rsquo;s too rough with the girls, Willy. All the mothers are afraid of him!"
