type,line
ISTJ," It&rsquo;s all right. I came back. No, nothing happened. You didn&rsquo;t smash the car, did you?  I&rsquo;m tired to the death. I couldn&rsquo;t make it. I just couldn&rsquo;t make it, Linda."
ISTJ," I got as far as a little above Yonkers. I stopped for a cup of coffee. Maybe it was the coffee.  I suddenly couldn&rsquo;t drive any more. The car kept going off onto the shoulder, y&rsquo;know?"
ISTJ,"No, it&rsquo;s me, it&rsquo;s me. Suddenly I realize I&rsquo;m goin&rsquo; sixty miles an hour and I don&rsquo;t remember the last five minutes. I&rsquo;m ? I can&rsquo;t seem to ? keep my mind to it. Maybe it&rsquo;s your glasses. You never went for your new glasses."
ISTJ,I&rsquo;ll start out in the morning. Maybe I&rsquo;ll feel better in the morning. These goddam arch supports are killing me.
ISTJ,"I was driving along, you understand? And I was fine. I was even observing the scenery. You can imagine, me looking at scenery, on the road every week of my life. But it&rsquo;s so beautiful up there, Linda, the trees are so thick, and the sun is warm. I opened the windshield and just let the warm air bathe over me."
ISTJ,"And then all of a sudden I&rsquo;m goin&rsquo; off the road! I&rsquo;m tellin&rsquo;ya, I absolutely forgot I was driving. If I&rsquo;d&rsquo;ve gone the other way over the white line I might&rsquo;ve killed somebody. So I went on again ? and five minutes later I&rsquo;m dreamin&rsquo; again, and I nearly... I have such thoughts, I have such strange thoughts."
ISTJ,"They don&rsquo;t need me in New York. I&rsquo;m the New England man. I&rsquo;m vital in New England. I&rsquo;ll have to send a wire to Portland. I&rsquo;m supposed to see Brown and Morrison tomorrow morning at ten o&rsquo;clock to show the line. Goddammit, I could sell them!"
ISTJ," If old man Wagner was alive I&rsquo;d a been in charge of New York now! That man was a prince, he was a masterful man. But that boy of his, that Howard, he don&rsquo;t appreciate. When I went north the first time, the Wagner Company didn&rsquo;t know where New England was!"
ISTJ," I will, I definitely will. Is there any cheese? No, go to sleep. I&rsquo;ll take some milk. I&rsquo;ll be up right away. The boys in?"
ISTJ,"Figure it out. Work a lifetime to pay off a house. You finally own it, and there&rsquo;s nobody to live in it. No, no, some people- some people accomplish something. Did Biff say anything after I went this morning?"
ISTJ,When the hell did I lose my temper? I simply asked him if he was making any money. Is that a criticism?  There&rsquo;s such an undercurrent in him. He became a moody man. Did he apologize when I left this morning?
ISTJ,"How can he find himself on a farm? Is that a life? A farm hand? In the beginning, when he was young, I thought, well, a young man, it&rsquo;s good for him to tramp around, take a lot of dif ferent jobs. But it&rsquo;s more than ten years now and he has yet to make thirty-five dollars a week!"
ISTJ," Not finding yourself at the age of thirty-four is a disgrace!  The trouble is he&rsquo;s lazy, goddammit! Biff is a lazy bum!"
ISTJ,"Why did he come home? I would like to know what brought him home. Biff Loman is lost. In the greatest country in the world a young man with such ? personal attractiveness, gets lost. And such a hard worker. There&rsquo;s one thing about Biff ? he&rsquo;s not lazy."
ISTJ,I&rsquo;ll see him in the morning; I&rsquo;ll have a nice talk with him. I&rsquo;ll get him a job selling. He could be big in no time. My God! Remember how they used to follow him around in high school? When he smiled at one of them their faces lit up. When he walked down the street...
ISTJ,"The street is lined with cars. There&rsquo;s not a breath of fresh air in the neighborhood. The grass don&rsquo;t grow any more, you can&rsquo;t raise a carrot in the back yard. They should&rsquo;ve had a law against apartment houses. Remember those two beautiful elm trees out there? When I and Biff hung the swing between them?"
ISTJ,"They should&rsquo;ve arrested the builder for cutting those down. They massacred the neighbourhood. More and more I think of those days, Linda. This time of year it was lilac and wisteria. And then the peonies would come out, and the daffodils. What fragrance in this room!"
ISTJ,There&rsquo;s more people! That&rsquo;s what&rsquo;s ruining this country! Population is getting out of control. The competition is mad dening! Smell the stink from that apartment house! And an other one on the other side... How can they whip cheese?
ISTJ,"You&rsquo;re not worried about me, are you, sweetheart?"
ISTJ,"I won&rsquo;t fight with him any more. If he wants to go back to Texas, let him go.  Sure. Certain men just don&rsquo;t get started till later in life. Like Thomas Edison; I think. Or B. F. Goodrich. One of them was deaf. I&rsquo;ll put my money on Biff."
ISTJ," I was thinking of the Chevvy. Nineteen twenty-eight ... when I had that red Chevvy... That funny? I coulda sworn I was driving that Chevvy today. Remarkable. Ts. Remember those days? The way Biff used to simonize that car? The dealer refused to believe there was eighty thousand miles on it. Close your eyes, I&rsquo;ll be right up"
ISTJ,"You gonna wash the engine, Biff? Don&rsquo;t get your sweater dirty, Biff!  What a simonizing job! No kiddin&rsquo;, Biff, you got a date? Wonderful!"
ISTJ,"Just wanna be careful with those girls, Biff, that&rsquo;s all. Don&rsquo;t make any promises. No promises of any kind. Because a girl, y&rsquo;know, they always believe what you tell &lsquo;em, and you&rsquo;re very young, Biff, you&rsquo;re too young to be talking seriously to girls."
ISTJ,"Too young entirely, Biff. You want to watch your school ing first. Then when you&rsquo;re all set, there&rsquo;ll be plenty of girls for a boy like you. That so? The girls pay for you? Boy, you must really be makin&rsquo; a hit."
ISTJ," I been wondering why you polish the car so careful. Ha! Don&rsquo;t leave the hubcaps, boys. Get the chamois to the hubcaps. Happy, use newspaper on the windows, it&rsquo;s the easiest thing. Show him how to do it Biff! You see, Happy? Pad it up, use it like a pad. That&rsquo;s it, that&rsquo;s it, good work."
ISTJ,"You&rsquo;re doin&rsquo; all right, Hap. Biff, first thing we gotta do when we get time is clip that big branch over the house. Afraid it&rsquo;s gonna fall in a storm and hit the roof. Tell you what. We get a rope and sling her around, and then we climb up there with a couple of saws and take her down. Soon as you finish the car, boys, I wanna see ya. I got a surprise for you, boys."
ISTJ,"No, you finish first. Never leave a job till you&rsquo;re finished ? remember that. Biff, up in Albany I saw a beautiful hammock. I think I&rsquo;ll buy it next trip, and we&rsquo;ll hang it right between those two elms. Wouldn&rsquo;t that be something? Just swingin&rsquo; there under those branches. Boy, that would be..."
ISTJ,"That&rsquo;s because he likes you. If somebody else took that ball there&rsquo;d be an uproar. So what&rsquo;s the report, boys, what&rsquo;s the report?"
ISTJ,"Don&rsquo;t say? Tell you a secret, boys. Don&rsquo;t breathe it to a soul. Someday I&rsquo;ll have my own business, and I&rsquo;ll never have to leave home any more. Bigger than Uncle Charley! Because Charley is not ? liked. He&rsquo;s liked, but he&rsquo;s not ? well liked."
ISTJ,"Well, I got on the road, and I went north to Providence. Met the Mayor. He said, ?Morning!? And I said, ?You got a fine city here, Mayor.? And then he had coffee with me. And then I went to Waterbury. Waterbury is a fine city. Big clock city, the famous Waterbury clock. Sold a nice bill there."
ISTJ,"And then Boston ? Boston is the cradle of the Revolution. A fine city. And a couple of other towns in Mass., and on to Portland and Bangor and straight home!"
ISTJ,"ou and Hap and I, and I&rsquo;ll show you all the towns. America is full of beautiful towns and fine, upstanding people. And they know me, boys, they know me up and down New England. The finest people."
ISTJ,"And when I bring you fellas up, there&rsquo;ll be open sesame for all of us, &lsquo;cause one thing, boys: I have friends. I can park my car in any street in New England, and the cops protect it like their own. This summer, heh?"
ISTJ,"Oh, won&rsquo;t that be something! Me comin&rsquo; into the Boston stores with you boys carryin&rsquo; my bags. What a sensation!"
ISTJ,"What&rsquo;re you talking about? With scholarships to three universities they&rsquo;re gonna flunk him? Don&rsquo;t be a pest, Bernard!  What an anemic!"
ISTJ,"That&rsquo;s just what I mean. Bernard can get the best marks in school, y&rsquo;understand, but when he gets out in the business world, y&rsquo;understand, you are going to be five times ahead of him. That&rsquo;s why I thank Almighty God you&rsquo;re both built like Adonises"
ISTJ,"Because the man who makes an appearance in the business world, the man who creates personal interest, is the man who gets ahead. Be liked and you will never want. You take me, for instance. I never have to wait in line to see a buyer. ?Willy Loman is here!? That&rsquo;s all they have to know, and I go right through."
ISTJ,"Knocked &lsquo;em cold in Providence, slaughtered &lsquo;em in Bos ton."
ISTJ,"Well, that&rsquo;s training, the training. I&rsquo;m tellin&rsquo; you, I was sellin&rsquo; thousands and thousands, but I had to come home. I did five hundred gross in Providence and seven hundred gross in Boston."
ISTJ,"Well, I ? I did ? about a hundred and eighty gross in Providence. Well, no ? it came to ? roughly two hundred gross on the whole trip.The trouble was that three of the stores were half-closed for inventory in Boston. Otherwise I woulda broke records."
