type,line
INFP,"To seek one who fled from me. And did the man whom you pursued travel in the same fashion? Then I fancy we have seen him, for the day before we picked you up we saw some dogs drawing a sledge, with a man in it, across the ice."
INFP,"I have, doubtless, excited your curiosity, as well as that of these good people; but you are too considerate to make inquiries. And yet you rescued me from a strange and perilous situation; you have benevolently restored me to life."
INFP," thank you for your sympathy, but it is useless; my fate is nearly fulfilled. I wait but for one event, and then I shall repose in peace. I understand your feeling, but you are mistaken, my friend, if thus you will allow me to name you; nothing can alter my destiny; listen to my history, and you will perceive how irrevocably it is determined."
INFP,"I expected this reception. All men hate the wretched; how, then, must I be hated, who am miserable beyond all living things! Yet you, my creator, detest and spurn me, thy creature, to whom thou art bound by ties only dissoluble by the annihilation of one of us. You purpose to kill me."
INFP,"How dare you sport thus with life? Do your duty towards me, and I will do mine towards you and the rest of mankind. If you will comply with my conditions, I will leave them and you at peace; but if you refuse, I will glut the maw of death, until it be satiated with the blood of your remaining friends."
INFP,"Be calm! I entreat you to hear me before you give vent to your hatred on my devoted head. Have I not suffered enough, that you seek to increase my misery? Life, although it may only be an accumulation of anguish, is dear to me, and I will defend it. Remember, thou hast made me more powerful than thyself; my height is superior to thine, my joints more supple."
INFP,"But I will not be tempted to set myself in opposition to thee. I am thy creature, and I will be even mild and docile to my natural lord and king if thou wilt also perform thy part, the which thou owest me."
INFP,"Oh, Frankenstein, be not equitable to every other and trample upon me alone, to whom thy justice, and even thy clemency and affection, is most due. Remember that I am thy creature; I ought to be thy Adam, but I am rather the fallen angel, whom thou drivest from joy for no misdeed."
INFP,"Everywhere I see bliss, from which I alone am irrevocably excluded. I was benevolent and good; misery made me a fiend. Make me happy, and I shall again be virtuous."
INFP,"How can I move thee? Will no entreaties cause thee to turn a favourable eye upon thy creature, who implores thy goodness and compassion? Believe me, Frankenstein, I was benevolent; my soul glowed with love and humanity; but am I not alone, miserably alone? You, my creator, abhor me; what hope can I gather from your fellow creatures, who owe me nothing?"
INFP,"They spurn and hate me. The desert mountains and dreary glaciers are my refuge. I have wandered here many days; the caves of ice, which I only do not fear, are a dwelling to me, and the only one which man does not grudge."
INFP,"These bleak skies I hail, for they are kinder to me than your fellow beings. If the multitude of mankind knew of my existence, they would do as you do, and arm themselves for my destruction. Shall I not then hate them who abhor me?"
INFP,"I will keep no terms with my enemies. I am miserable, and they shall share my wretchedness. Yet it is in your power to recompense me, and deliver them from an evil which it only remains for you to make so great, that not only you and your family, but thousands of others, shall be swallowed up in the whirlwinds of its rage."
INFP,"Let your compassion be moved, and do not disdain me. Listen to my tale; when you have heard that, abandon or commiserate me, as you shall judge that I deserve. But hear me. The guilty are allowed, by human laws, bloody as they are, to speak in their own defence before they are condemned."
INFP,"Listen to me, Frankenstein. You accuse me of murder, and yet you would, with a satisfied conscience, destroy your own creature. Oh, praise the eternal justice of man! Yet I ask you not to spare me; listen to me, and then, if you can, and if you will, destroy the work of your hands."
INFP,"Thus I relieve thee, my creator, thus I take from thee a sight which you abhor. Still thou canst listen to me and grant me thy compassion. By the virtues that I once possessed, I demand this from you. Hear my tale; it is long and strange, and the temperature of this place is not fitting to your fine sensations; come to the hut upon the mountain."
INFP,"The sun is yet high in the heavens; before it descends to hide itself behind your snowy precipices and illuminate another world, you will have heard my story and can decide."
INFP,"On you it rests, whether I quit forever the neighborhood of man and lead a harmless life, or become the scourge of your fellow creatures and the author of your own speedy ruin."
INFP,"The path of my departure was free, and there was none to lament my annihilation. My person was hideous and my stature gigantic. What did this mean? Who was I? What was I? Whence did I come? What was my destination?"
INFP,"Hateful day when I received life! Accursed creator! Why did you form a monster so hideous that even you turned from me in disgust? God, in pity, made man beautiful and alluring, after his own image; but my form is a filthy type of yours, more horrid even from the very resemblance. Satan had his companions, fellow devils, to admire and encourage him, but I am solitary and abhorred."
INFP,"Pardon this intrusion, I am a traveler in want of a little rest; you would greatly oblige me if you would allow me to remain a few minutes before the fire. Do not trouble yourself, my kind host; I have food; it is warmth and rest only that I need."
INFP,"No; but I was educated by a French family and understand that language only. I am now going to claim the protection of some friends, whom I sincerely love, and of whose favour I have some hopes."
INFP,"No, they are French. But let us change the subject. I am an unfortunate and deserted creature, I look around and I have no relation or friend upon earth. These amiable people to whom I go have never seen me and know little of me. I am full of fears, for if I fail there, I am an outcast in the world forever."
INFP,"They are kind?they are the most excellent creatures in the world; but, unfortunately, they are prejudiced against me. I have good dispositions; my life has been hitherto harmless and in some degree beneficial; but a fatal prejudice clouds their eyes, and where they ought to see a feeling and kind friend, they behold only a detestable monster."
INFP," am about to undertake that task; and it is on that account that I feel so many overwhelming terrors. I tenderly love these friends; I have, unknown to them, been for many months in the habits of daily kindness towards them; but they believe that I wish to injure them, and it is that prejudice which I wish to overcome."
INFP,"Excellent man! I thank you and accept your generous offer. You raise me from the dust by this kindness; and I trust that, by your aid, I shall not be driven from the society and sympathy of your fellow creatures."
INFP,"How can I thank you, my best and only benefactor? From your lips first have I heard the voice of kindness directed towards me; I shall be forever grateful; and your present humanity assures me of success with those friends whom I am on the point of meeting. Now is the time! Save and protect me! You and your family are the friends whom I seek. Do not you desert me in the hour of trial!"
INFP,"Child, what is the meaning of this? I do not intend to hurt you; listen to me. Boy, you will never see your father again; you must come with me. Frankenstein! you belong then to my enemy?to him towards whom I have sworn eternal revenge; you shall be my first victim."
INFP,"Awake, fairest, thy lover is near?he who would give his life but to obtain one look of affection from thine eyes; my beloved, awake! We may not part until you have promised to comply with my requisition. I am alone and miserable; man will not associate with me; but one as deformed and horrible as myself would not deny herself to me. My companion must be of the same species and have the same defects. This being you must create."
INFP,"You must create a female for me with whom I can live in the interchange of those sympathies necessary for my being. This you alone can do, and I demand it of you as a right which you must not refuse to concede."
INFP,"You are in the wrong, and instead of threatening, I am content to reason with you. I am malicious because I am miserable. Am I not shunned and hated by all mankind? You, my creator, would tear me to pieces and triumph; remember that, and tell me why I should pity man more than he pities me?"
INFP,"You would not call it murder if you could precipitate me into one of those ice-rifts and destroy my frame, the work of your own hands. Shall I respect man when he condemns me? Let him live with me in the interchange of kindness, and instead of injury I would bestow every benefit upon him with tears of gratitude at his acceptance."
INFP,"But that cannot be; the human senses are insurmountable barriers to our union. Yet mine shall not be the submission of abject slavery. I will revenge my injuries; if I cannot inspire love, I will cause fear, and chiefly towards you my archenemy, because my creator, do I swear inextinguishable hatred. Have a care; I will work at your destruction, nor finish until I desolate your heart, so that you shall curse the hour of your birth."
INFP,"I intended to reason. This passion is detrimental to me, for you do not reflect that you are the cause of its excess. If any being felt emotions of benevolence towards me, I should return them a hundred and a hundredfold; for that one creature&rsquo;s sake I would make peace with the whole kind! But I now indulge in dreams of bliss that cannot be realized."
INFP,"What I ask of you is reasonable and moderate; I demand a creature of another sex, but as hideous as myself; the gratification is small, but it is all that I can receive, and it shall content me."
INFP,"It is true, we shall be monsters, cut off from all the world; but on that account we shall be more attached to one another. Our lives will not be happy, but they will be harmless and free from the misery I now feel."
INFP,"Oh! My creator, make me happy; let me feel gratitude towards you for one benefit! Let me see that I excite the sympathy of some existing thing; do not deny me my request"
