type,line
ISFP,"No, You&rsquo;re with a lucky boat. Stay with them"
ISFP,"I remember, I know you did not leave me because you doubted."
ISFP,"No. Go and play baseball. I can still row and Rogelio will throw the net. You bought me a beer, You are already a man."
ISFP,Five and you nearly were killed when I brought the fish in too green and he nearly tore the boat to pieces. Can you remember?
ISFP,Can you really remember that or did I just tell it to you? If you were my boy I&rsquo;d take you out and gamble. But you are your father&rsquo;s and your mother&rsquo;s and you are in a lucky boat.
ISFP,I have mine left from today. I put them in salt in the box. Tomorrow is going to be a good day with this current.
ISFP,Far out to come in when the wind shifts. I want to be out before it is light. He does not like to work too far out.
ISFP,A pot of yellow rice with fish. Do you want some? No. I will make it later on. Or I may eat the rice cold
ISFP,&ldquo;How would you like to see me bring one in that dressed out over a thousand pounds?
ISFP,Do you think we should buy a terminal of the lottery with an eighty-five? Tomorrow is the eighty-fifth day.
ISFP,I think perhaps I can too. But I try not to borrow. First you borrow. Then you beg.
ISFP,"The month when the great fish come, anyone can be a fisherman in May."
ISFP,"Then live a long time and take care of yourself, What are we eating?"
ISFP,Who gave this to you? I must thank him. I&rsquo;ll give him the belly meat of a big fish. Has he done this for us more than once? I must give him something more than the belly meat then. He is very thoughtful for us.
ISFP,"I like the beer in cans best. That&rsquo;s very kind of you, Should we eat? Your stew is excellent,"
ISFP,In the American League it is the Yankees as I said. That means nothing. The great DiMaggio is himself again.
ISFP,"Naturally. But he makes the difference. In the other league, between Brooklyn and Philadelphia I must take Brooklyn. But then I think of Dick Sisler and those great drives In the old park. Do you remember when he used to come to the Terrace?"
ISFP,I know. It was a great mistake. He might have gone with us. Then we would have that for all of our lives.
ISFP,"They say his father was a fisherman. Maybe he was as poor as we are and would understand. The great Sisler&rsquo;s father was never poor and he, the father, was playing in the Big Leagues when he was my age. When I was your age I was before the mast on a square rigged ship that ran to Africa and I have seen lions on the beaches in the evening."
ISFP,He used to come to the Terrace sometimes too in the older days. But he was rough and harsh-spoken and difficult when he was drinking. His mind was on horses as well as baseball. At least he carried lists of horses at all times in his pocket and frequently spoke the names of horses on the telephone.
ISFP,"Because he came here the most times, If Durocher had continued to come here each year your father would think him the greatest manager"
ISFP,Thank you. You make me happy. I hope no fish will come along so great that he will prove us wrong.
ISFP,"I may not be as strong as I think, But I know many tricks and I have resolution. You ought to go to bed now so that you will be fresh in the morning. I will take the things back to the Terrace."
ISFP,Age is my alarm clock. Why do old men wake so early? Is it to have one longer day?
ISFP,We&rsquo;ll put the gear in the boat and then get some.
ISFP,"Very well, Manolin, I feel confident today."
ISFP,"We&rsquo;re different, I let you carry things when you were five years old."
ISFP,"Albacore, He&rsquo;ll make a beautiful bait. He&rsquo;ll weigh ten pounds. If the others heard me talking out loud they would think that I am crazy, But since I am not crazy, I do not care. And the rich have radios to talk to them in their boats and to bring them the baseball."
ISFP,"Come on, Make another turn. Just smell them. Aren&rsquo;t they lovely? Eat them good now and then there is the tuna. Hard and cold and lovely. Don&rsquo;t be shy, fish. Eat them"
ISFP,"He&rsquo;ll take it. God help him to take it. He can&rsquo;t have gone, Christ knows he can&rsquo;t have gone. He&rsquo;s making a turn. Maybe he has been hooked before and he remembers something of it."
ISFP,I wish I had the boy. I&rsquo;m being towed by a fish and I&rsquo;m the towing bitt. I could make the line fast. But then he could break it. I must hold him all I can and give him line when he must have it. Thank God he is travelling and not going down.
ISFP,I wish I had the boy. To help me and to see this. They are good. They play and make jokes and love one another. They are our brothers like the flying fish.
ISFP,"Fish, I&rsquo;ll stay with you until I am dead."
ISFP,"He&rsquo;s headed north, God let him jump, I have enough line to handle him."
ISFP,"Fish, I love you and respect you very much. But I will kill you dead before this day ends."
