type,line
ENFP,"I hope Mr. Bingley will like it, Lizzy. But you forget, mamma that we shall meet him at the assemblies, and that Mrs. Long promised to introduce him."
ENFP,"He is also handsome, which a young man ought likewise to be, if he possibly can. His character is thereby complete.Did not you? I did for you. But that is one great difference between us. Compliments always take you by surprise, and me never. What could be more natural than his asking you again?"
ENFP,"He could not help seeing that you were about five times as pretty as every other woman in the room. No thanks to his gallantry for that. Well, he certainly is very agreeable, and I give you leave to like him. You have liked many a stupider person."
ENFP,"That is very true, and I could easily forgive his pride, if he had not mortified mine."
ENFP,"But she does help him on, as much as her nature will allow. If I can perceive her regard for him, he must be a simpleton, indeed, not to discover it too."
ENFP,"But if a woman is partial to a man, and does not endeavour to conceal it, he must find it out."
ENFP,"Your plan is a good one, where nothing is in question but the desire of being well married, and if I were determined to get a rich husband, or any husband, I dare say I should adopt it. But these are not Jane&rsquo;s feelings; she is not acting by design. As yet, she cannot even be certain of the degree of her own regard nor of its reasonableness."
ENFP,"She has known him only a fortnight. She danced four dances with him at Meryton; she saw him one morning at his own house, and has since dined with him in company four times. This is not quite enough to make her understand his character."
ENFP,"Yes; these four evenings have enabled them to ascertain that they both like Vingt-un better than Commerce; but with respect to any other leading characteristic, I do not imagine that much has been unfolded"
ENFP,"You make melaugh, Charlotte; but it is not sound. You know it is not sound, and that you would never act in this way yourself."
ENFP,That is a question which Mr. Darcy only can answer.
ENFP,"That would be a good scheme, if you were sure that they would not offer to send her home. But if you have got them to-day, my mother&rsquo;s purpose will be answered."
ENFP,"I deserve neither such praise nor such censure, I am not a great reader, and I have pleasure in many things. And I wish my collection were larger for your benefit and my own credit; but I am an idle fellow, and though I have not many, I have more than I ever looked into."
ENFP,"Then, you must comprehend a great deal in your idea of an accomplished woman."
ENFP,"That is exactly what I should have supposed of you, Oh! yes?I understand you perfectly."
ENFP,"Indeed, Mamma, you are mistaken. You quite mistook Mr. Darcy. He only meant that there was not such a variety of people to be met with in the country as in the town, which you must acknowledge to be true."
ENFP,"And so ended his affection. There has been many a one, I fancy, overcome in the same way. I wonder who first discovered the efficacy of poetry in driving away love!"
ENFP,"Of a fine, stout, healthy love it may. Everything nourishes what is strong already. But if it be only a slight, thin sort of inclination, I am convinced that one good sonnet will starve it entirely away."
ENFP,"Your humility, Mr. Bingley, must disarm reproof. And which of the two do you call my little recent piece of modesty?"
ENFP,"You have only proved by this, that Mr. Bingley did not do justice to his own disposition. You have shown him off now much more than he did himself."
ENFP,Would Mr. Darcy then consider the rashness of your original in tentions as atoned for by your obstinacy in adhering to it?
ENFP,To yield readily?easily?to the persuasion of a friend is no merit with you.
ENFP,"You appear to me, Mr. Darcy, to allow nothing for the influence of friendship and affection. A regard for the requester would often make one readily yield to a request, without waiting for arguments to reason one into it. I am not particularly speaking of such a case as you have supposed about Mr. Bingley."
ENFP,"We may as well wait, perhaps, till the circumstance occurs before we discuss the discretion of his behaviour thereupon. But in general and ordinary cases between friend and friend, where one of them is desired by the other to change a resolution of no very great moment, should you think ill of that person for complying with the desire, without waiting to be argued into it?"
ENFP,"What you ask, is no sacrifice on my side; and Mr. Darcy had much better finish his letter."
ENFP,"Oh! I heard you before, but I could not immediately determine what to say in reply. You wanted me, I know, to say &lsquo;Yes,&rsquo; that you might have the pleasure of despising my taste; but I always delight in overthrowing those kind of schemes, and cheating a person of their premeditated contempt. I have, therefore, made up my mind to tell you, that I do not want to dance a reel at all?and now despise me if you dare."
