type,line
INFP,"I don't think I will send it anywhere, No: I won't send it anywhere."
INFP,"I know you will laugh at me, but I really can't exhibit it. I have put too much of myself into it."
INFP,"You don't understand me, Harry. Of course I am not like him. I know that perfectly well. Indeed, I should be sorry to look like him. You shrug your shoulders? I am telling you the truth. There is a fatality about all physical and intellectual distinction, the sort of fatality that seems to dog through history the faltering steps of kings."
INFP," It is better not to be different from one's fellows. The ugly and the stupid have the best of it in this world. They can sit quietly and gape at the play. If they know nothing of victory, they are at least spared the knowledge of defeat."
INFP,"They live as we all should live, undisturbed, indifferent, and without disquiet. They neither bring ruin upon others nor ever receive it from alien hands. Your rank and wealth, Harry; my brains, such as they are,--my fame, whatever it may be worth; Dorian Gray's good looks,--we will all suffer for what the gods have given us, suffer terribly."
INFP,"Oh, I can't explain. When I like people immensely I never tell their names to any one. It seems like surrendering a part of them. You know how I love secrecy. It is the only thing that can make modern life wonderful or mysterious to us. The commonest thing is delightful if one only hides it."
INFP,"When I leave town I never tell my people where I am going. If I did, I would lose all my pleasure. It is a silly habit, I dare say, but somehow it seems to bring a great deal of romance into one's life. I suppose you think me awfully foolish about it?"
INFP,"I hate the way you talk about your married life, Harry, I believe that you are really a very good husband, but that you are thoroughly ashamed of your own virtues. You are an extraordinary fellow. You never say a moral thing, and you never do a wrong thing. Your cynicism is simply a pose."
INFP,"every portrait that is painted with feeling is a portrait of the artist, not of the sitter. The sitter is merely the accident, the occasion. It is not he who is revealed by the painter; it is rather the painter who, on the colored canvas, reveals himself. The reason I will not exhibit this picture is that I am afraid that I have shown with it the secret of my own soul."
INFP,"Oh, there is really very little to tell, Harry, and I am afraid you will hardly understand it. Perhaps you will hardly believe it."
INFP,"Well, this is incredible, incredible to me at times. I don't know what it means. The story is simply this. Two months ago I went to a crush at Lady Brandon's. You know we poor painters have to show ourselves in society from time to time, just to remind the public that we are not savages. With an evening coat and a white tie, as you told me once, anybody, even a stock-broker, can gain a reputation for being civilized."
INFP,"Well, after I had been in the room about ten minutes, talking to huge overdressed dowagers and tedious Academicians, I suddenly became conscious that some one was looking at me. I turned half-way round, and saw Dorian Gray for the first time. When our eyes met, I felt that I was growing pale. A curious instinct of terror came over me."
INFP," I knew that I had come face to face with some one whose mere personality was so fascinating that, if I allowed it to do so, it would absorb my whole nature, my whole soul, my very art itself. I did not want any external influence in my life. You know yourself, Harry, how independent I am by nature."
INFP,"My father destined me for the army. I insisted on [7] going to Oxford. Then he made me enter my name at the Middle Temple. Before I had eaten half a dozen dinners I gave up the Bar, and announced my intention of becoming a painter. I have always been my own master; had at least always been so, till I met Dorian Gray."
INFP,"Then--But I don't know how to explain it to you. Something seemed to tell me that I was on the verge of a terrible crisis in my life. I had a strange feeling that Fate had in store for me exquisite joys and exquisite sorrows. I knew that if I spoke to Dorian I would become absolutely devoted to him, and that I ought not to speak to him."
INFP," I grew afraid, and turned to quit the room. It was not conscience that made me do so: it was cowardice. I take no credit to myself for trying to escape."
INFP,"You don't understand what friendship is, Harry, or what enmity is, for that matter. You like every one; that is to say, you are indifferent to every one."
INFP,"I should think it was, Harry. But according to your category I must be merely an acquaintance. And much less than a friend. A sort of brother, I suppose?"
INFP,"I don't agree with a single word that you have said, and, what is more, Harry, I don't believe you do either."
INFP,Every day. I couldn't be happy if I didn't see him every day. Of course sometimes it is only for a few minutes. But a few minutes with somebody one worships mean a great deal.
