type,line
ESFP,"You must lend me these, Basil, I want to learn them. They are perfectly charming."
ESFP,"Oh, I am tired of sitting, and I don't want a life-sized portrait of myself, I beg your pardon, Basil, but I didn't know you had any one with you."
ESFP,"I am in Lady Agatha's black books at present, I promised to go to her club in Whitechapel with her last Tuesday, and I really forgot all about it. We were to have played a duet together,--three duets, I believe. I don't know what she will say to me. I am far too frightened to call."
ESFP,"That is very horrid to her, and not very nice to me."
ESFP,"Oh, please don't, Lord Henry. I see that Basil is in one of his sulky moods; and I can't bear him when he sulks. Besides, I want you to tell me why I should not go in for philanthropy."
ESFP,"if Lord Henry goes I shall go too. You never open your lips while you are painting, and it is horribly dull standing on a platform and trying to look pleasant. Ask him to stay. I insist upon it."
ESFP,"stop! you bewilder me. I don't know what to say. There is some answer to you, but I cannot find it. Don't speak. Let me think, or, rather, let me try not to think."
ESFP,"Basil, I am tired of standing, I must go out and sit in the garden. The air is stifling here."
ESFP,"Certainly, Harry. Just touch the bell, and when Parker comes I will tell him what you want. I have got to work up this background, so I will join you later on. Don't keep Dorian too long. I have never been in better form for painting than I am to-day. This is going to be my masterpiece. It is my masterpiece as it stands."
ESFP,"In that case, let our friendship be a caprice,"
ESFP,"How sad it is! How sad it is! I shall grow old, and horrid, and dreadful. But this picture will remain always young. It will never be older than this particular day of June. . . . If it was only the other way! If it was I who were to be always young, and the picture that were to grow old! For this--for this--I would give everything! Yes, there is nothing in the whole world I would not give!"
ESFP,"I believe you would, Basil. You like your art better than your friends. I am no more to you than a green bronze figure. Hardly as much, I dare say."
ESFP,"I am less to you than your ivory Hermes or your silver Faun. You will like them always. How long will you like me? Till I have my first wrinkle, I suppose. I know, now, that when one loses one's good looks, whatever they may be, one loses everything. Your picture has taught me that. Lord Henry is perfectly right. Youth is the only thing worth having. When I find that I am growing old, I will kill myself."
ESFP,"I am jealous of everything whose beauty does not die. I am jealous of the portrait you have painted of me. Why should it keep what I must lose? Every moment that passes takes something from me, and gives something to it. Oh, if it was only the other way! If the picture could change, and I could be always what I am now! Why did you paint it? It will mock me some day,--mock me horribly!"
ESFP,"Appreciate it? I am in love with it, Basil. It is part of myself, I feel that."
ESFP,"If you let any one have it but me, Basil, I will never forgive you! And I don't allow people to call me a silly boy. And you know you have been a little silly, Mr. Gray, and that you don't really mind being called a boy."
ESFP,"And, after all, it is purely a question for physiology. It has nothing to do with our own will. It is either an unfortunate accident, or an unpleasant result of temperament. Young men want to be faithful, and are not; old men want to be faithless, and cannot: that is all one can say."
ESFP,"I am afraid I don't think so, Lady Henry. I never talk during music,--at least during good music. If one hears bad music, it is one's duty to drown it by conversation."
ESFP,"I will tell you, Harry; but you mustn't be unsympathetic about it. After all, it never would have happened if I had not met you. You filled me with a wild desire to know everything about life. For days after I met you, something seemed to throb in my veins."
ESFP,"As I lounged in the Park, or strolled down Piccadilly, I used to look at every one who passed me, and wonder with a mad curiosity what sort of lives they led. Some of them fascinated me. Others filled me with terror. There was an exquisite poison in the air. I had a passion for sensations."
ESFP,"But I like sentimental people. I don't think I am likely to marry, Harry. I am too much in love. That is one of your aphorisms. I am putting it into practice, as I do everything you say."
ESFP,"One evening about seven o'clock I determined to go out in search of some adventure. I felt that this gray, monstrous London of ours, with its myriads of people, its splendid sinners, and its sordid sins, as you once said, must have something in store for me. I fancied a thousand things."
ESFP,"The mere danger gave me a sense of delight. I remembered what you had said to me on that wonderful night when we first dined together, about the search for beauty being the poisonous secret of life. I don't know what I expected, but I went out, and wandered eastward, soon losing my way in a labyrinth of grimy streets and black, grassless squares."
ESFP,"About half-past eight I passed by a little thirdrate theatre, with great flaring gas-jets and gaudy play-bills. A hideous Jew, in the most amazing waistcoat I ever beheld in my life, was standing at the entrance, smoking a vile cigar. He had greasy ringlets, and an enormous diamond blazed in the centre of a soiled shirt. ''Ave a box, my lord?' he said, when he saw me, and he took off his hat with an act of gorgeous servility."
ESFP,"There was something about him, Harry, that amused me. He was such a monster. You will laugh at me, I know, but I really went in and paid a whole guinea for the stage-box. To the present day I can't make out why I did so; and yet if I hadn't!--my dear Harry, if I hadn't, I would have missed the greatest romance of my life. I see you are laughing. It is horrid of you!"
ESFP,"Well, I found myself seated in a horrid little private box, with a vulgar drop-scene staring me in the face. I looked out behind the curtain, and surveyed the house. It was a tawdry affair, all Cupids and cornucopias, like a third-rate wedding-cake."
ESFP,"The gallery and pit were fairly full, but the two rows of dingy stalls were quite empty, and there was hardly a person in what I suppose they called the dresscircle. Women went about with oranges and ginger-beer, and there was a terrible consumption of nuts going on."
ESFP,"Just like, I should fancy, and very horrid. I began to wonder what on earth I should do, when I caught sight of the play-bill. What do you think the play was, Harry?"
ESFP,"This play was good enough for us, Harry. It was 'Romeo and Juliet.' I must admit I was rather annoyed at the idea of seeing Shakespeare done in such a wretched hole of a place. Still, I felt interested, in a sort of way."
ESFP," At any rate, I determined to wait for the first act. There was a dreadful orchestra, presided over by a young Jew who sat at a cracked piano, that nearly drove me away, but at last the drop-scene was drawn up, and the play began. Romeo was a stout elderly gentleman, with corked eyebrows, a husky tragedy voice, and a figure like a beer-barrel."
ESFP,"Mercutio was almost as bad. He was played by the low-comedian, who had introduced gags of his own and was on most familiar terms with the pit. They were as grotesque as the scenery, and that looked as if it had come out of a pantomime of fifty years ago."
ESFP,"But Juliet! Harry, imagine a girl, hardly seventeen years of age, with a little flower-like face, a small Greek head with plaited coils of dark-brown hair, eyes that were violet wells of passion, lips that were like the petals of a rose. She was the loveliest thing I had ever seen in my life. You said to me once that pathos left you unmoved, but that beauty, mere beauty, could fill your eyes with tears."
ESFP,"I tell you, Harry, I could hardly see this girl for the mist of tears that came across me. And her voice,--I never heard such a voice. It was very low at first, with deep mellow notes, that seemed to fall singly upon one's ear."
ESFP," Then it became a little louder, and sounded like a flute or a distant hautbois. In the garden-scene it had all the tremulous ecstasy that one hears just before dawn when nightingales are singing. There were moments, later on, when it had the wild passion of violins. You know how a voice can stir one."
ESFP,"Your voice and the voice of Sibyl Vane are two things that I shall never forget. When I close my eyes, I hear them, and each of them says something different. I don't know which to follow. Why should I not love her? Harry, I do love her. She is everything to me in life. Night after night I go to see her play."
ESFP,"One evening she is Rosalind, and the next evening she is Imogen. I have seen her die in the gloom of an Italian tomb, sucking the poison from her lover's lips. I have watched her wandering through the forest of Arden, disguised as a pretty boy in hose and doublet and dainty cap."
ESFP,"She has been mad, and has come into the presence of a guilty king, and given him rue to wear, and bitter herbs to taste of. She has been innocent, and the black hands of jealousy have crushed her reed-like throat. I have seen her in every age and in every costume."
ESFP,"Ordinary women never appeal to one's imagination. They are limited to their century. No glamour ever transfigures them. One knows their minds as easily as one knows their bonnets. One can always find them. There is no mystery in one of them. They ride in the Park in the morning, and chatter at tea-parties in the afternoon."
ESFP,"They have their stereotyped smile, and their fashionable manner. They are quite obvious. But an actress! How different an actress is! Why didn't you tell me that the only thing worth loving is an actress?"
