type,line
ENTP,"It is your best work, Basil, the best thing you have ever done. You must certainly send it next year to the Grosvenor. The Academy is too large and too vulgar. The Grosvenor is the only place."
ENTP,"Not send it anywhere? My dear fellow, why? Have you any reason? What odd chaps you painters are! You do anything in the world to gain a reputation. As soon as you have one, you seem to want to throw it away. It is silly of you, for there is only one thing in the world worse than being talked about, and that is not being talked about. A portrait like this would set you far above all the young men in England, and make the old men quite jealous, if old men are ever capable of any emotion."
ENTP,"Too much of yourself in it! Upon my word, Basil, I didn't know you were so vain; and I really can't see any resemblance between you, with your rugged strong face and your coal-black hair, and this young Adonis, who looks as if he was made of ivory and rose-leaves."
ENTP,"Why, my dear Basil, he is a Narcissus, and you--well, of course you have an intellectual expression, and all that. But beauty, real beauty, ends where an intellectual expression begins. Intellect is in itself an exaggeration, and destroys the harmony of any face."
ENTP,"The moment one sits down to think, one becomes all nose, or all forehead, or something horrid. Look at the successful men in any of the learned professions. How perfectly hideous they are! Except, of course, in the Church. But then in the Church they don't think."
ENTP,"A bishop keeps on saying at the age of eighty what he was told to say when he was a boy of eighteen, and consequently he always looks absolutely delightful."
ENTP,"Your mysterious young friend, whose name you have never told me, but whose picture really fascinates me, never thinks. I feel quite sure of that. He is a brainless, beautiful thing, who should be always here in winter when we have no flowers to look at, and always here in summer when we want something to chill our intelligence. Don't flatter yourself, Basil: you are not in the least like him."
ENTP,"not at all, my dear Basil. You seem to forget that I am married, and the one charm of marriage is that it makes a life of deception necessary for both parties. I never know where my wife is, and my wife never knows what I am doing."
ENTP,"When we meet,--we do meet occasionally, when we dine out together, or go down to the duke's,--we tell each other the most absurd stories with the most serious faces. My wife is very good at it,--much better, in fact, than I am. She never gets confused over her dates, and I always do. But when she does find me out, she makes no row at all. I sometimes wish she would; but she merely laughs at me."
ENTP,"Being natural is simply a pose, and the most irritating pose I know."
ENTP,"I must. I want you to explain to me why you won't exhibit Dorian Gray's picture. I want the real reason. No, you did not. You said it was because there was too much of yourself in it. Now, that is childish."
ENTP,"Conscience and cowardice are really the same things, Basil. Conscience is the trade-name of the firm. That is all"
ENTP,"How horribly unjust of you! Yes; horribly unjust of you. I make a great difference between people. I choose my friends for their good looks, my acquaintances for their characters, and my enemies for their brains. A man can't be too careful in the choice of his enemies. I have not got one who is a fool. They are all men of some intellectual power, and consequently they all appreciate me. Is that very vain of me? I think it is rather vain."
ENTP,"My dear old Basil, you are much more than an acquaintance. Oh, brothers! I don't care for brothers. My elder brother won't die, and my younger brothers seem never to do anything else."
ENTP,"My dear fellow, I am not quite serious. But I can't help detesting my relations. I suppose it comes from the fact that we can't stand other people having the same faults as ourselves. I quite sympathize with the rage of the English democracy against what they call the vices of the upper classes."
ENTP,"They feel that drunkenness, stupidity, and immorality should be their own special property, and that if any one of us makes an ass of himself he is poaching on their preserves. When poor Southwark got into the Divorce Court, their indignation was quite magnificent. And yet I don't suppose that ten per cent of the lower orders live correctly."
ENTP,"How English you are, Basil! If one puts forward an idea to a real Englishman,--always a rash thing to do,--he never dreams of considering whether the idea is right or wrong. The only thing he considers of any importance is whether one believes it one's self. Now, the value of an idea has nothing whatsoever to do with the sincerity of the man who expresses it."
ENTP," Indeed, the probabilities are that the more insincere the man is, the more purely intellectual will the idea be, as in that case it  will not be colored by either his wants, his desires, or his prejudices. However, I don't propose to discuss politics, sociology, or metaphysics with you. I like persons better than principles. Tell me more about Dorian Gray. How often do you see him?"
ENTP,Poets are not so scrupulous as you are. They know how useful passion is for publication. Nowadays a broken heart will run to many editions.
ENTP,"I think you are wrong, Basil, but I won't argue with you. It is only the intellectually lost who ever argue. Tell me, is Dorian Gray very fond of you?"
ENTP,"Days in summer, Basil, are apt to linger. Perhaps you will tire sooner than he will. It is a sad thing to think of, but there is no doubt that Genius lasts longer than Beauty. That accounts for the fact that we all take such pains to over-educate ourselves. In the wild struggle for existence, we want to have something that endures, and so we fill our minds with rubbish and facts, in the silly hope of keeping our place."
ENTP,"The thoroughly well informed man,--that is the modern ideal. And the mind of the thoroughly well informed man is a dreadful thing. It is like a bric-?-brac shop, all monsters and dust, and everything priced above its proper value. I think you will tire first, all the same. Some day you will look at Gray, and he will seem to you to be a little out of drawing, or you won't like his tone of color, or something."
ENTP,"You will bitterly reproach him in your own heart, and seriously think that he has behaved very badly to you. The next time he calls, you will be perfectly cold and indifferent. It will be a great pity, for it will alter you. The worst of having a romance is that it leaves one so unromantic."
ENTP,"Ah, my dear Basil, that is exactly why I can feel it. Those who are faithful know only the pleasures of love: it is the faithless who know love's tragedies."" And Lord Henry struck a light on a dainty silver case, and began to smoke a cigarette with a self-conscious and self-satisfied air, as if he had summed up life in a phrase."
ENTP,"There was a rustle of chirruping sparrows in the ivy, and the blue cloud-shadows chased themselves across the grass like swallows. How pleasant it was in the garden! And how delightful other people's emotions were!--much more delightful than their ideas, it seemed to him."
ENTP,"One's own soul, and the passions of one's friends,--those were the fascinating things in life. He thought with pleasure of the tedious luncheon that he had missed by staying so long with Basil Hallward."
ENTP,"Had he gone to his aunt's, he would have been sure to meet Lord Goodbody there, and the whole conversation would have been about the housing of the poor, and the necessity for model lodging-houses. It was charming to have escaped all that! As he thought of his aunt, an idea seemed to strike him. He turned to Hallward, and said, ""My dear fellow, I have just remembered."
ENTP,"Don't look so angry, Basil. It was at my aunt's, Lady Agatha's. She told me she had discovered a wonderful young man, who was going to help her in the East End, and that his name was Dorian Gray. I am bound to state that she never told me he was good-looking. Women have no appreciation of good looks."
ENTP,"At least, good women have not. She said that he was very earnest, and had a beautiful nature. I at once pictured to myself a creature with spectacles and lank hair, horridly freckled, and tramping about on huge feet. I wish I had known it was your friend."
ENTP,"You have not spoiled my pleasure in meeting you, Mr. Gray, My aunt has often spoken to me about you. You are one of her favorites, and, I am afraid, one of her victims also."
ENTP,"Oh, I will make your peace with my aunt. She is quite devoted to you. And I don't think it really matters about your not being there. The audience probably thought it was a duet. When Aunt Agatha sits down to the piano she makes quite enough noise for two people."
ENTP,"You are too charming to go in for philanthropy, Mr. Gray,--far too charming."
ENTP,"I don't know that I shall tell you that, Mr. Gray. But I certainly will not run away, now that you have asked me to stop. You don't really mind, Basil, do you? You have often told me that you liked your sitters to have some one to chat to."
ENTP,"You are very pressing, Basil, but I am afraid I must go. I have promised to meet a man at the Orleans.--Good-by, Mr. Gray. Come and see me some afternoon in Curzon Street. I am nearly always at home at five o'clock. Write to me when you are coming. I should be sorry to miss you."
ENTP,"There is no such thing as a good influence, Mr. Gray. All influence is immoral,--immoral from the scientific point of view."
ENTP,"Because to influence a person is to give him one's own soul. He does not think his natural thoughts, or burn with his natural passions. His virtues are not real to him. His sins, if there are such things as sins, are borrowed. He becomes an echo of some one else's music, an actor of a part that has not been written for him."
ENTP,"The aim of life is self-development. To realize one's nature perfectly,--that is what each of us is here for. People are afraid of themselves, nowadays. They have forgotten the highest of all duties, the duty that one owes to one's self."
ENTP,"Of course they are charitable. They feed the hungry, and clothe the beggar. But their own souls starve, and are naked. Courage has gone out of our race. Perhaps we never really had it. The terror of society, which is the basis of morals, the terror of God, which is the secret of religion,--these are the two things that govern us. And yet?"
ENTP,"I believe that if one man were to live his life out fully and completely, were to give form to every feeling, expression to every thought, reality to every dream,--I believe that the world would gain such a fresh impulse of joy that we would forget all the maladies of mediaevalism, and return to the Hellenic ideal,--to something finer, richer, than the Hellenic ideal, it may be."
ENTP,But the bravest man among us is afraid of himself. The mutilation of the savage has its tragic survival in the self-denial that mars our lives. We are punished for our refusals.
ENTP," Every impulse that we strive to strangle broods in the mind, and poisons us. The body sins once, and has done with its sin, for action is a mode of purification. Nothing remains then but the recollection of a pleasure, or the luxury of a regret. The only way to get rid of a temptation is to yield to it."
ENTP,"Resist it, and your soul grows sick with longing for the things it has forbidden to itself, with desire for what its monstrous laws have made monstrous and unlawful. It has been said that the great events of the world take place in the brain. It is in the brain, and the brain only, that the great sins of the world take place also."
ENTP,"You, Mr. Gray, you yourself, with your rose-red youth and your rose-white boyhood, you have had passions that have made you afraid, thoughts that have filled you with terror, day-dreams and sleeping dreams whose mere memory might stain your cheek with shame?"
ENTP,"You know you believe it all, I will go out to the garden with you. It is horridly hot in the studio.--Basil, let us have something iced to drink, something with strawberries in it."
ENTP,"that is one of the great secrets of life,--to cure the soul by means of the senses, and the senses by means of the soul. You are a wonderful creature. You know more than you think you know, just as you know less than you want to know."
ENTP,"Let us go and sit in the shade, Parker has brought out the drinks, and if you stay any longer in this glare you will be quite spoiled, and Basil will never paint you again. You really must not let yourself become sunburnt. It would be very unbecoming to you."
ENTP,"Because you have now the most marvellous youth, and youth is the one thing worth having. No, you don't feel it now. Some day, when you are old and wrinkled and ugly, when thought has seared your forehead with its lines, and passion branded your lips with its hideous fires, you will feel it, you will feel it terribly. Now, wherever you go, you charm the world. Will it always be so?"
ENTP,"You have a wonderfully beautiful face, Mr. Gray. Don't frown. You have. And Beauty is a form of Genius,--is higher, indeed, than Genius, as it needs no explanation. It is one of the great facts of the world, like sunlight, or spring-time, or the reflection in dark waters of that silver shell we call the moon. It cannot be questioned. It has its divine right of sovereignty. It makes princes of those who have it. You smile? Ah! when you have lost it you won't smile."
ENTP,"People say sometimes that Beauty is only superficial. That may be so. But at least it is not so superficial as Thought. To me, Beauty is the wonder of wonders. It is only shallow people who do not judge by appearances. The true mystery of the world is the visible, not the invisible."
ENTP,"Yes, Mr. Gray, the gods have been good to you. But what the gods give they quickly take away. You have only a few years in which really to live. When your youth goes, your beauty will go with it, and then you will suddenly discover that there are no triumphs left for you, or have to content yourself with those mean triumphs that the memory of your past will make more bitter than defeats."
ENTP,"Every month as it wanes brings you nearer to something dreadful. Time is jealous of you, and wars against your lilies and your roses. You will become sallow, and hollow-cheeked, and dull-eyed. You will suffer horribly."
ENTP,"Realize your youth while you have it. Don't squander the gold of your days, listening to the tedious, trying to improve the hopeless failure, or giving away your life to the ignorant, the common, and the vulgar, which are the aims, the false ideals, of our age. Live! Live the wonderful life that is in you! Let nothing be lost upon you. Be always searching for new sensations. Be afraid of nothing."
ENTP,"A new hedonism,--that is what our century wants. You might be its visible symbol. With your personality there is nothing you could not do. The world belongs to you for a season."
ENTP,"The moment I met you I saw that you were quite unconscious of what you really are, what you really might be. There was so much about you that charmed me that I felt I must tell you something about yourself. I thought how tragic it would be if you were wasted. For there is such a little time that your youth will last,--such a little time."
ENTP,"The common hill-flowers wither, but they blossom again. The laburnum will be as golden next June as it is now. In a month there will be purple stars on the clematis, and year after year the green night of its leaves will have its purple stars. But we never get back our youth."
ENTP,"The pulse of joy that beats in us at twenty, becomes sluggish. Our limbs fail, our senses rot. We degenerate into hideous puppets, haunted by the memory of the passions of which we were too much afraid, and the exquisite temptations that we did not dare to yield to. Youth! Youth! There is absolutely nothing in the world but youth!"
ENTP,"Always! That is a dreadful word. It makes me shudder when I hear it. Women are so fond of using it. They spoil every romance by trying to make it last forever. It is a meaningless word, too. The only difference between a caprice and a life-long passion is that the caprice lasts a little longer."
ENTP,Of course he likes it. Who wouldn't like it? It is one of the greatest things in modern art. I will give you anything you like to ask for it. I must have it.
ENTP,"You would hardly care for that arrangement, Basil, It would be rather hard lines on you."
ENTP,"I don't like simple pleasures, And I don't like scenes, except on the stage. What absurd fellows you are, both of you! I wonder who it was defined man as a rational animal. It was the most premature definition ever given. Man is many things, but he is not rational. I am glad he is not, after all: though I wish you chaps would not squabble over the picture. You had much better let me have it, Basil. This silly boy doesn't really want it, and I do."
ENTP,"Let us go to the theatre to-night, There is sure to be something on, somewhere. I have promised to dine at White's, but it is only with an old friend, so I can send him a wire and say that I am ill, or that I am prevented from coming in consequence of a subsequent engagement. I think that would be a rather nice excuse: it would have the surprise of candor."
ENTP,"the costume of our day is detestable. It is so sombre, so depressing. Sin is the only color-element left in modern life."
ENTP,"I wish I could trust myself. Come, Mr. Gray, my hansom is outside, and I can drop you at your own place.--Good-by, Basil. It has been a most interesting afternoon"
ENTP,"I am charmed, my love, quite charmed. So sorry I am late, Dorian. I went to look after a piece of old brocade in Wardour Street, and had to bargain for hours for it. Nowadays people know the price of everything, and the value of nothing."
ENTP,"Never marry a woman with straw-colored hair, Dorian. Because they are so sentimental. Never marry at all, Dorian. Men marry because they are tired; women, because they are curious: both are disappointed."
ENTP,"My dear boy, no woman is a genius: women are a decorative sex. They never have anything to say, but they say it charmingly. They represent the triumph of matter over mind, just as we men represent the triumph of mind over morals. There are only two kinds of women, the plain and the colored."
ENTP,"The plain women are very useful. If you want to gain a reputation for respectability, you have merely to take them down to supper. The other women are very charming. They commit one mistake, however. They paint in order to try to look young. Our grandmothers painted in order to try to talk brilliantly."
ENTP,"Rouge and esprit used to go together. That has all gone out now. As long as a woman can look ten years younger than her own daughter, she is perfectly satisfied. As for conversation, there are only five women in London worth talking to, and two of these can't be admitted into decent society. However, tell me about your genius. How long have you known her?"
